127.0.0.1 - - [02/Nov/2019:11:37:07 +0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:37:07 +0300] "GET /Pets/ HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:37:15 +0300] "GET /Pets/Cat HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:37:21 +0300] "GET /Pets/Home HTTP/1.1" 500 1689
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:37:55 +0300] "GET /Pets/showCats HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:38:02 +0300] "GET /Pets/Home/showCats HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:38:38 +0300] "GET /Pets/Home HTTP/1.1" 500 1689
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:38:52 +0300] "GET /Pets/Home HTTP/1.1" 500 1689
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:38:52 +0300] "GET /Pets/Home HTTP/1.1" 500 1689
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:39:22 +0300] "GET /Pets/Home HTTP/1.1" 500 1689
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:39:22 +0300] "GET /robots.txt HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:39:22 +0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:39:24 +0300] "GET /Pets HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:39:24 +0300] "GET /Pets/ HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:39:29 +0300] "GET /Pets/Home HTTP/1.1" 500 1689
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:39:45 +0300] "GET /Pets/Home HTTP/1.1" 500 1689
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:39:53 +0300] "GET /Pets/Home/showCats HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:39:56 +0300] "GET /Pets/Home/Cat HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:40:56 +0300] "GET /Pets/Home?name=ddd&beerd=ff&weight=9 HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:41:19 +0300] "GET /Pets/Home?name=ddd&beerd=ff&weight=9 HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:41:23 +0300] "GET /Pets/Home HTTP/1.1" 500 1689
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:41:32 +0300] "GET /Pets/Home?name=f HTTP/1.1" 500 1689
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:45:35 +0300] "GET /Pets/Home?name=dalal&beerd=hh&weight=8 HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:46:34 +0300] "GET /Pets/Home?name=dalal&beerd=hh&weight=8 HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:46:35 +0300] "GET /Pets/Home?name=dalal&beerd=hh&weight=8 HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:46:40 +0300] "GET /Pets/Home?name=dalal&beerd=hh&weight=8 HTTP/1.1" 500 2799
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:46:46 +0300] "GET /Pets/Home?name=dalal&beerd=hh&weight=8 HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:52:00 +0300] "GET /Pets/Home?name=dalal&beerd=hh&weight=8 HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:52:05 +0300] "GET /Pets/Home?name=bb&beerd=hh&weight=8 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:54:17 +0300] "GET /Pets/Home?name=bb&beerd=hh&weight=8 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:54:18 +0300] "GET /Pets/Home?name=bb&beerd=hh&weight=8 HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:58:50 +0300] "GET /Pets/Home?name=bb&beerd=hh&weight=8 HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [02/Nov/2019:11:59:51 +0300] "GET /Pets/Home?name=bb&beerd=hh&weight=8 HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [02/Nov/2019:12:00:23 +0300] "GET /Pets/Home?name=bb&beerd=hh&weight=8 HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [02/Nov/2019:12:00:36 +0300] "GET /Pets/Home?name=bb&beerd=hh&weight=8 HTTP/1.1" 200 412
